thumbnail,registeredAt,id,count,title
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42788527/42788527.21626520.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42788527/42788527.21626520.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42788527/42788527.21626520"")",2023-09-21T06:21:00+09:00,sm42788527,"Dict{String, Any}(""view"" => 2780, ""like"" => 126, ""comment"" => 58, ""mylist"" => 12)",スネイルのパーフェクト作戦教室
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787608/42787608.67457932.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787608/42787608.67457932.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787608/42787608.67457932"")",2023-09-20T21:55:03+09:00,sm42787608,"Dict{String, Any}(""view"" => 4407, ""like"" => 322, ""comment"" => 196, ""mylist"" => 13)",【ARMORED CORE VI】鋼鉄ジーグ
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777605/42777605.51581884.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777605/42777605.51581884.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777605/42777605.51581884"")",2023-09-18T18:00:00+09:00,sm42777605,"Dict{String, Any}(""view"" => 17151, ""like"" => 1906, ""comment"" => 1029, ""mylist"" => 40)",【アーマードコア6】ゆかりは闘争を求める #11【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42783523/42783523.87267604.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42783523/42783523.87267604.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42783523/42783523.87267604"")",2023-09-19T21:23:02+09:00,sm42783523,"Dict{String, Any}(""view"" => 6522, ""like"" => 390, ""comment"" => 67, ""mylist"" => 85)",【ACMAD】ブルーアーカイブPV風『レイヴンの火』
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787300/42787300.80580475.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787300/42787300.80580475.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787300/42787300.80580475"")",2023-09-20T20:43:02+09:00,sm42787300,"Dict{String, Any}(""view"" => 4103, ""like"" => 435, ""comment"" => 543, ""mylist"" => 24)",【ARMORED CORE VI】茜は闘争を求める【７】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791893/42791893.26657883.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791893/42791893.26657883.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791893/42791893.26657883"")",2023-09-22T09:00:00+09:00,sm42791893,"Dict{String, Any}(""view"" => 499, ""like"" => 63, ""comment"" => 195, ""mylist"" => 4)",【ARMORED CORE Ⅵ】待ち望んだロボゲーをやろう会_Part29
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782137/42782137.58670997.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782137/42782137.58670997.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782137/42782137.58670997"")",2023-09-19T18:00:00+09:00,sm42782137,"Dict{String, Any}(""view"" => 13839, ""like"" => 563, ""comment"" => 837, ""mylist"" => 16)",【アーマード・コアⅥ】近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その24
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793203/42793203.9128984.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793203/42793203.9128984.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793203/42793203.9128984"")",2023-09-22T12:26:02+09:00,sm42793203,"Dict{String, Any}(""view"" => 326, ""like"" => 59, ""comment"" => 167, ""mylist"" => 3)",【ARMORED CORE Ⅵ】ルビコンゆかり #20【アイスワーム撃破/アリーナランクA】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42763022/42763022.44851114.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42763022/42763022.44851114.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42763022/42763022.44851114"")",2023-09-16T18:00:00+09:00,sm42763022,"Dict{String, Any}(""view"" => 25652, ""like"" => 3249, ""comment"" => 1835, ""mylist"" => 43)",【アーマードコア6】ゆかりは闘争を求める #10【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42770399/42770399.67558607.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42770399/42770399.67558607.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42770399/42770399.67558607"")",2023-09-17T17:05:00+09:00,sm42770399,"Dict{String, Any}(""view"" => 33721, ""like"" => 730, ""comment"" => 1987, ""mylist"" => 59)",G13としてミシガン総長を撃つ！愉快なピクニック終末の時 #13【アーマードコア６】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42764915/42764915.7991095.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42764915/42764915.7991095.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42764915/42764915.7991095"")",2023-09-15T21:45:03+09:00,sm42764915,"Dict{String, Any}(""view"" => 34400, ""like"" => 1259, ""comment"" => 1684, ""mylist"" => 50)",【アーマードコアⅥ】 ルビコンタマネギ Part.7【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787575/42787575.11117234.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787575/42787575.11117234.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42787575/42787575.11117234"")",2023-09-21T08:00:00+09:00,sm42787575,"Dict{String, Any}(""view"" => 1760, ""like"" => 200, ""comment"" => 232, ""mylist"" => 13)",【アーマードコア6】アーマード・おあー part4【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773226/42773226.12538027.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773226/42773226.12538027.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773226/42773226.12538027"")",2023-09-17T20:00:00+09:00,sm42773226,"Dict{String, Any}(""view"" => 24379, ""like"" => 1747, ""comment"" => 1175, ""mylist"" => 44)",【アーマードコア６】ナニカサレタずんちゃん＃１１【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42771825/42771825.60965487.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42771825/42771825.60965487.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42771825/42771825.60965487"")",2023-09-17T09:03:02+09:00,sm42771825,"Dict{String, Any}(""view"" => 14010, ""like"" => 495, ""comment"" => 72, ""mylist"" => 52)",【AC6】強化前マシンガンの回収交換を呼び掛けていた頃のベイラムグループのお詫びCM【ARMORED CORE VI FIRES OF RUBICON】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767958/42767958.1457788.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767958/42767958.1457788.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42767958/42767958.1457788"")",2023-09-16T18:00:00+09:00,sm42767958,"Dict{String, Any}(""view"" => 23232, ""like"" => 921, ""comment"" => 1646, ""mylist"" => 29)",【アーマード・コアⅥ】『アーキバスバルテウス戦』『ラスボスB戦』近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その21
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42768059/42768059.86852793.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42768059/42768059.86852793.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42768059/42768059.86852793"")",2023-09-16T14:51:02+09:00,sm42768059,"Dict{String, Any}(""view"" => 5597, ""like"" => 188, ""comment"" => 25, ""mylist"" => 23)",惑星封鎖機構　CM「アイビスの火」
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794493/42794493.99617721.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794493/42794493.99617721.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794493/42794493.99617721"")",2023-09-22T19:00:02+09:00,sm42794493,"Dict{String, Any}(""view"" => 226, ""like"" => 47, ""comment"" => 137, ""mylist"" => 2)",[ACⅥ]フィーオブルビコン18[初見]
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777354/42777354.52608539.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777354/42777354.52608539.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42777354/42777354.52608539"")",2023-09-18T13:30:00+09:00,sm42777354,"Dict{String, Any}(""view"" => 13041, ""like"" => 816, ""comment"" => 1177, ""mylist"" => 39)",【ARMORED CORE VI】紲星あかりの名前のない実況【A.I.VOICE実況プレイ】part07
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42778005/42778005.74011988.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42778005/42778005.74011988.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42778005/42778005.74011988"")",2023-09-18T18:00:00+09:00,sm42778005,"Dict{String, Any}(""view"" => 17533, ""like"" => 581, ""comment"" => 1444, ""mylist"" => 21)",【アーマード・コアⅥ】近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その23
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789549/42789549.72938557.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789549/42789549.72938557.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789549/42789549.72938557"")",2023-09-21T13:13:02+09:00,sm42789549,"Dict{String, Any}(""view"" => 745, ""like"" => 129, ""comment"" => 82, ""mylist"" => 8)",【アーマードコア6】ゆかりさん独立傭兵になる　4話【ゆかマキ実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42675104/42675104.51670623.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42675104/42675104.51670623.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42675104/42675104.51670623"")",2023-08-26T17:23:02+09:00,sm42675104,"Dict{String, Any}(""view"" => 25249, ""like"" => 738, ""comment"" => 203, ""mylist"" => 111)",【AC6】なにかおかしい強化人間ゆかりVSとにかくうるさいジャガーノート
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789586/42789586.71090524.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789586/42789586.71090524.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42789586/42789586.71090524"")",2023-09-21T21:00:00+09:00,sm42789586,"Dict{String, Any}(""view"" => 331, ""like"" => 56, ""comment"" => 84, ""mylist"" => 1)",【アーマード・コア6】きりたん621、仕事するってよ 05【VOICEROID実況プレイ】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773003/42773003.18326517.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773003/42773003.18326517.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42773003/42773003.18326517"")",2023-09-17T18:00:00+09:00,sm42773003,"Dict{String, Any}(""view"" => 22380, ""like"" => 908, ""comment"" => 1335, ""mylist"" => 20)",【アーマード・コアⅥ】『パンジャンドラム(武装採掘艦護衛)』近接攻撃縛りのアーマード・コア6爆弾魔のゆっくり実況その22
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42753000/42753000.36214602.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42753000/42753000.36214602.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42753000/42753000.36214602"")",2023-09-12T21:42:03+09:00,sm42753000,"Dict{String, Any}(""view"" => 41790, ""like"" => 1318, ""comment"" => 1798, ""mylist"" => 40)",【アーマードコアⅥ】 ルビコンタマネギ Part.6【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42689851/42689851.54872689.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42689851/42689851.54872689.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42689851/42689851.54872689"")",2023-08-29T21:42:03+09:00,sm42689851,"Dict{String, Any}(""view"" => 89855, ""like"" => 2438, ""comment"" => 2390, ""mylist"" => 313)",【アーマードコアⅥ】 ルビコンタマネギ Part.1【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734668/42734668.24234967.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734668/42734668.24234967.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734668/42734668.24234967"")",2023-09-13T18:00:00+09:00,sm42734668,"Dict{String, Any}(""view"" => 23556, ""like"" => 2621, ""comment"" => 1346, ""mylist"" => 43)",【アーマードコア6】ゆかりは闘争を求める #9【VOICEROID実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42698597/42698597.22247279.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42698597/42698597.22247279.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42698597/42698597.22247279"")",2023-08-31T20:20:03+09:00,sm42698597,"Dict{String, Any}(""view"" => 77168, ""like"" => 1806, ""comment"" => 1978, ""mylist"" => 66)",【アーマードコアⅥ】 ルビコンタマネギ Part.2【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42743068/42743068.98669809.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42743068/42743068.98669809.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42743068/42743068.98669809"")",2023-09-10T14:14:03+09:00,sm42743068,"Dict{String, Any}(""view"" => 42027, ""like"" => 1304, ""comment"" => 1750, ""mylist"" => 48)",【アーマードコアⅥ】 ルビコンタマネギ Part.5【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791497/42791497.28948225.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791497/42791497.28948225.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42791497/42791497.28948225"")",2023-09-21T22:58:02+09:00,sm42791497,"Dict{String, Any}(""view"" => 307, ""like"" => 36, ""comment"" => 95, ""mylist"" => 1)",にわかレイヴンアリアルさんのACⅥ初見実況Part31
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794314/42794314.91432104.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794314/42794314.91432104.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42794314/42794314.91432104"")",2023-09-22T18:21:02+09:00,sm42794314,"Dict{String, Any}(""view"" => 210, ""like"" => 26, ""comment"" => 68, ""mylist"" => 2)","【アーマードコアⅥ】姫様""仕事""の時間です １８話【ゆっくり実況プレイ】"
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42715711/42715711.79410639.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42715711/42715711.79410639.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42715711/42715711.79410639"")",2023-09-03T21:52:03+09:00,sm42715711,"Dict{String, Any}(""view"" => 52587, ""like"" => 1494, ""comment"" => 1627, ""mylist"" => 40)",【アーマードコアⅥ】 ルビコンタマネギ Part.3【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42727250/42727250.90660504.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42727250/42727250.90660504.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42727250/42727250.90660504"")",2023-09-06T21:55:01+09:00,sm42727250,"Dict{String, Any}(""view"" => 51135, ""like"" => 1464, ""comment"" => 1916, ""mylist"" => 52)",【アーマードコアⅥ】 ルビコンタマネギ Part.4【ゆっくり実況】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42756619/42756619.63905801.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42756619/42756619.63905801.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42756619/42756619.63905801"")",2023-09-14T17:05:00+09:00,sm42756619,"Dict{String, Any}(""view"" => 34336, ""like"" => 710, ""comment"" => 1810, ""mylist"" => 38)",「エンフォーサー」にレーザーランスをブチ込むのが余りにも気持ち良すぎるｗｗｗ #12【アーマードコア６】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782193/42782193.13355092.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782193/42782193.13355092.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42782193/42782193.13355092"")",2023-09-19T19:00:00+09:00,sm42782193,"Dict{String, Any}(""view"" => 6045, ""like"" => 361, ""comment"" => 569, ""mylist"" => 11)",アーマードコア6をねっとりプレイ 第14話
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42755220/42755220.55277987.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42755220/42755220.55277987.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42755220/42755220.55277987"")",2023-09-13T17:05:00+09:00,sm42755220,"Dict{String, Any}(""view"" => 37759, ""like"" => 790, ""comment"" => 1989, ""mylist"" => 26)",「アイスワーム」を撃破する、命知らず共のピクニックの幕開けだ！ #11【アーマードコア６】
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793725/42793725.82248115.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793725/42793725.82248115.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42793725/42793725.82248115"")",2023-09-22T19:30:00+09:00,sm42793725,"Dict{String, Any}(""view"" => 151, ""like"" => 23, ""comment"" => 47, ""mylist"" => 2)",第六駆逐隊のＡＣ６企業縛り　４
"Dict{String, Any}(""middleUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734624/42734624.48996045.M"", ""largeUrl"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734624/42734624.48996045.L"", ""url"" => ""http://nicovideo.cdn.nimg.jp/thumbnails/42734624/42734624.48996045"")",2023-09-10T18:00:00+09:00,sm42734624,"Dict{String, Any}(""view"" => 25396, ""like"" => 2346, ""comment"" => 1288, ""mylist"" => 45)",【アーマードコア6】ゆかりは闘争を求める #8【VOICEROID実況】
